,arr_delay
0,-11.0
1,-14.0
2,-6.0
3,-29.0
4,-11.0
5,-20.0
6,-27.0
7,11.0
8,16.0
9,-13.0
10,-12.0
11,21.0
12,5.0
13,-5.0
14,283.0
15,-20.0
16,-24.0
17,-3.0
18,-1.0
19,-13.0
20,-14.0
21,113.0
22,-7.0
23,1.0
24,-21.0
25,-8.0
26,-7.0
27,25.0
28,-15.0
29,-19.0
30,-31.0
31,-22.0
32,-24.0
33,-23.0
34,177.0
35,-19.0
36,-14.0
37,0.0
38,-25.0
39,-18.0
40,-18.0
41,-16.0
42,-13.0
43,-14.0
44,-14.0
45,42.0
46,-15.0
47,4.0
48,13.0
49,27.0
50,20.0
51,-7.0
52,-4.0
53,58.0
54,-9.0
55,-33.0
56,25.0
57,-4.0
58,16.0
59,-21.0
60,-10.0
61,-4.0
62,0.0
63,-12.0
64,-11.0
65,3.0
66,-1.0
67,-1.0
68,12.0
69,-27.0
70,47.0
71,-33.0
72,1.0
73,-8.0
74,26.0
75,110.0
76,-11.0
77,0.0
78,-3.0
79,-35.0
80,72.0
81,-19.0
82,-15.0
83,2.0
84,-14.0
85,-21.0
86,-6.0
87,7.0
88,107.0
89,-27.0
90,-5.0
91,-32.0
92,-2.0
93,-7.0
94,-18.0
95,-15.0
96,-7.0
97,779.0
98,-21.0
99,-7.0
100,-2.0
101,-16.0
102,-9.0
103,9.0
104,19.0
105,-16.0
106,143.0
107,25.0
108,-24.0
109,40.0
110,-15.0
111,-2.0
112,-12.0
113,87.0
114,-36.0
115,25.0
116,4.0
117,21.0
118,49.0
119,-9.0
120,51.0
121,54.0
122,38.0
123,-26.0
124,10.0
125,-15.0
126,-5.0
127,364.0
128,-18.0
129,-29.0
130,-3.0
131,1.0
132,13.0
133,-2.0
134,-8.0
135,-18.0
136,-1.0
137,-22.0
138,-5.0
139,3.0
140,-29.0
141,9.0
142,490.0
143,-5.0
144,22.0
145,-8.0
146,2.0
147,2.0
148,-22.0
149,66.0
150,1.0
151,8.0
152,-4.0
153,8.0
154,3.0
155,-2.0
156,-9.0
157,9.0
158,0.0
159,3.0
160,-5.0
161,11.0
162,-3.0
163,-26.0
164,3.0
165,-13.0
166,-4.0
167,-33.0
168,-8.0
169,-43.0
170,14.0
171,942.0
172,-18.0
173,-26.0
174,-44.0
175,-14.0
176,22.0
177,-5.0
178,-1.0
179,14.0
180,13.0
181,16.0
182,-6.0
183,-25.0
184,38.0
185,-9.0
186,-1.0
187,7.0
188,-24.0
189,-28.0
190,-2.0
191,-1.0
192,-9.0
193,26.0
194,-11.0
195,0.0
196,3.0
197,-4.0
198,9.0
199,-7.0
200,15.0
201,13.0
202,-10.0
203,-14.0
204,4.0
205,45.0
206,-15.0
207,35.0
208,-16.0
209,-19.0
210,12.0
211,236.0
212,0.0
213,-19.0
214,-15.0
215,8.0
216,55.0
217,-4.0
218,-25.0
219,130.0
220,-5.0
221,4.0
222,31.0
223,-8.0
224,0.0
225,-13.0
226,-8.0
227,-12.0
228,-5.0
229,-18.0
230,15.0
231,-18.0
232,-16.0
233,4.0
234,-4.0
235,58.0
236,-19.0
237,-12.0
238,31.0
239,4.0
240,11.0
241,11.0
242,-1.0
243,-23.0
244,3.0
245,-14.0
246,-4.0
247,-33.0
248,74.0
249,-26.0
250,8.0
251,-3.0
252,6.0
253,0.0
254,-25.0
255,-16.0
256,22.0
257,-27.0
258,-33.0
259,-22.0
260,-24.0
261,146.0
262,-23.0
263,-10.0
264,46.0
265,-11.0
266,-23.0
267,26.0
268,0.0
269,24.0
270,32.0
271,21.0
272,-31.0
273,-20.0
274,-25.0
275,-8.0
276,-16.0
277,-13.0
278,-2.0
279,-18.0
280,-32.0
281,-13.0
282,23.0
283,-20.0
284,3.0
285,-2.0
286,16.0
287,7.0
288,3.0
289,1.0
290,-12.0
291,-8.0
292,-19.0
293,34.0
294,-21.0
295,6.0
296,-6.0
297,13.0
298,9.0
299,10.0
300,-10.0
301,-5.0
302,-4.0
303,0.0
304,-4.0
305,-20.0
306,-9.0
307,-1.0
308,-6.0
309,4.0
310,9.0
311,-4.0
312,0.0
313,-20.0
314,-15.0
315,-17.0
316,-3.0
317,52.0
318,2.0
319,16.0
320,-14.0
321,3.0
322,7.0
323,-18.0
324,3.0
325,-23.0
326,-12.0
327,49.0
328,-37.0
329,-4.0
330,-12.0
331,0.0
332,65.0
333,-9.0
334,-5.0
335,-3.0
336,-3.0
337,-1.0
338,-15.0
339,-5.0
340,1.0
341,-16.0
342,-20.0
343,-16.0
344,12.0
345,-10.0
346,2.0
347,-2.0
348,12.0
349,-9.0
350,-23.0
351,12.0
352,-6.0
353,-27.0
354,-6.0
355,-12.0
356,34.0
357,-30.0
358,11.0
359,-18.0
360,-3.0
361,-46.0
362,-8.0
363,-17.0
364,-4.0
365,-11.0
366,-24.0
367,56.0
368,16.0
369,4.0
370,-6.0
371,-11.0
372,-17.0
373,18.0
374,-14.0
375,78.0
376,3.0
377,1.0
378,-26.0
379,101.0
380,-22.0
381,123.0
382,-21.0
383,-16.0
384,99.0
385,4.0
386,-12.0
387,124.0
388,2.0
389,3.0
390,-16.0
391,-16.0
392,-22.0
393,10.0
394,-19.0
395,16.0
396,-5.0
397,-11.0
398,-12.0
399,-13.0
400,0.0
401,37.0
402,55.0
403,16.0
404,10.0
405,1.0
406,-27.0
407,13.0
408,3.0
409,285.0
410,-34.0
411,-30.0
412,-5.0
413,155.0
414,-8.0
415,2.0
416,-36.0
417,-8.0
418,-8.0
419,-16.0
420,-39.0
421,8.0
422,-10.0
423,-7.0
424,-3.0
425,-3.0
426,-17.0
427,92.0
428,49.0
429,-22.0
430,-22.0
431,-28.0
432,37.0
433,-9.0
434,63.0
435,-5.0
436,111.0
437,-40.0
438,-21.0
439,-19.0
440,-12.0
441,-22.0
442,-4.0
443,-13.0
444,-24.0
445,-22.0
446,-4.0
447,-24.0
448,-5.0
449,1.0
450,-17.0
451,0.0
452,-14.0
453,-14.0
454,-3.0
455,-19.0
456,3.0
457,-6.0
458,86.0
459,49.0
460,22.0
461,2.0
462,-2.0
463,30.0
464,-8.0
465,-29.0
466,3.0
467,-10.0
468,172.0
469,-4.0
470,12.0
471,11.0
472,38.0
473,4.0
474,-7.0
475,-3.0
476,-13.0
477,-3.0
478,6.0
479,-13.0
480,-19.0
481,16.0
482,18.0
483,12.0
484,-12.0
485,-37.0
486,-42.0
487,-19.0
488,-14.0
489,-28.0
490,18.0
491,-3.0
492,-4.0
493,-5.0
494,29.0
495,-15.0
496,-1.0
497,85.0
498,-24.0
499,-24.0
500,9.0
501,-6.0
502,121.0
503,5.0
504,-13.0
505,12.0
506,25.0
507,-19.0
508,-12.0
509,-18.0
510,-7.0
511,17.0
512,-10.0
513,-22.0
514,47.0
515,68.0
516,-11.0
517,0.0
518,-9.0
519,7.0
520,5.0
521,-12.0
522,4.0
523,-12.0
524,9.0
525,-19.0
526,-2.0
527,-4.0
528,-26.0
529,-30.0
530,-25.0
531,30.0
532,-13.0
533,-11.0
534,20.0
535,-10.0
536,-2.0
537,0.0
538,-21.0
539,-8.0
540,11.0
541,-13.0
542,-18.0
543,-21.0
544,-3.0
545,3.0
546,-20.0
547,-12.0
548,19.0
549,8.0
550,17.0
551,86.0
552,24.0
553,-18.0
554,39.0
555,-8.0
556,135.0
557,-12.0
558,-20.0
559,-23.0
560,7.0
561,0.0
562,-8.0
563,12.0
564,313.0
565,-15.0
566,-6.0
567,-22.0
568,-10.0
569,-23.0
570,-16.0
571,-14.0
572,-33.0
573,-2.0
574,-46.0
575,-6.0
576,22.0
577,-27.0
578,-34.0
579,8.0
580,-21.0
581,-33.0
582,-11.0
583,-15.0
584,-10.0
585,-23.0
586,88.0
587,-7.0
588,-1.0
589,-3.0
590,-21.0
591,146.0
592,53.0
593,-30.0
594,-1.0
595,-7.0
596,13.0
597,25.0
598,119.0
599,-19.0
600,52.0
601,-14.0
602,36.0
603,955.0
604,20.0
605,-30.0
606,2.0
607,165.0
608,6.0
609,-5.0
610,-16.0
611,-3.0
612,-12.0
613,-34.0
614,-9.0
615,12.0
616,-7.0
617,-6.0
618,-4.0
619,-6.0
620,-20.0
621,43.0
622,-24.0
623,33.0
624,-17.0
625,38.0
626,41.0
627,-4.0
628,-23.0
629,8.0
630,12.0
631,30.0
632,4.0
633,-17.0
634,7.0
635,3.0
636,291.0
637,-16.0
638,-17.0
639,-9.0
640,-18.0
641,-19.0
642,-21.0
643,-41.0
644,-9.0
645,11.0
646,13.0
647,0.0
648,26.0
649,11.0
650,-38.0
651,-8.0
652,-21.0
653,-9.0
654,-10.0
655,-10.0
656,4.0
657,21.0
658,21.0
659,-10.0
660,-26.0
661,3.0
662,-3.0
663,-1.0
664,-30.0
665,7.0
666,-17.0
667,-14.0
668,207.0
669,-9.0
670,-9.0
671,-24.0
672,-7.0
673,-19.0
674,-62.0
675,-2.0
676,73.0
677,16.0
678,0.0
679,-21.0
680,-19.0
681,36.0
682,-2.0
683,14.0
684,-5.0
685,-14.0
686,40.0
687,-15.0
688,-1.0
689,-22.0
690,-20.0
691,8.0
692,8.0
693,-1.0
694,-8.0
695,-14.0
696,9.0
697,166.0
698,64.0
699,8.0
700,-3.0
701,-16.0
702,24.0
703,-16.0
704,-19.0
705,23.0
706,-27.0
707,8.0
708,-6.0
709,1070.0
710,31.0
711,-38.0
712,-10.0
713,-12.0
714,13.0
715,9.0
716,-43.0
717,54.0
718,277.0
719,-23.0
720,32.0
721,32.0
722,5.0
723,9.0
724,-3.0
725,4.0
726,-19.0
727,-14.0
728,-16.0
729,24.0
730,139.0
731,63.0
732,-15.0
733,-7.0
734,-26.0
735,-12.0
736,-9.0
737,-12.0
738,49.0
739,-5.0
740,1.0
741,-26.0
742,-9.0
743,-9.0
744,87.0
745,-20.0
746,9.0
747,-7.0
748,-23.0
749,-9.0
750,27.0
751,13.0
752,1.0
753,0.0
754,-16.0
755,-9.0
756,63.0
757,-16.0
758,52.0
759,-9.0
760,90.0
761,-6.0
762,4.0
763,-11.0
764,-6.0
765,57.0
766,-18.0
767,15.0
768,-1.0
769,-7.0
770,-11.0
771,-6.0
772,-22.0
773,-20.0
774,-19.0
775,-35.0
776,38.0
777,-27.0
778,75.0
779,7.0
780,-41.0
781,-3.0
782,0.0
783,94.0
784,-30.0
785,-19.0
786,28.0
787,-1.0
788,-10.0
789,-7.0
790,-12.0
791,-15.0
792,163.0
793,154.0
794,-30.0
795,-3.0
796,-16.0
797,-8.0
798,68.0
799,-2.0
800,-6.0
801,-7.0
802,-7.0
803,16.0
804,-3.0
805,2.0
806,-37.0
807,27.0
808,-25.0
809,-11.0
810,25.0
811,-24.0
812,5.0
813,17.0
814,15.0
815,-3.0
816,-5.0
817,-10.0
818,10.0
819,-3.0
820,30.0
821,10.0
822,-14.0
823,-11.0
824,-19.0
825,88.0
826,150.0
827,-1.0
828,-23.0
829,19.0
830,-22.0
831,3.0
832,5.0
833,1.0
834,-12.0
835,-30.0
836,82.0
837,16.0
838,-37.0
839,-20.0
840,-1.0
841,121.0
842,-14.0
843,-18.0
844,-3.0
845,10.0
846,63.0
847,10.0
848,-41.0
849,9.0
850,-12.0
